tanggal,test_id,prioritas,aktivitas,status
2026-01-07 14:22:02,keluarga,1,Mengikuti konseling keluarga dengan psikolog atau terapis,done
2026-01-07 14:22:02,keluarga,2,Membuat kesepakatan dan komitmen bersama untuk menyelesaikan konflik,done
2026-01-07 14:22:02,keluarga,3,Belajar teknik komunikasi efektif dan penyelesaian masalah dari ahli,done
2026-01-07 14:22:02,keluarga,4,Mengidentifikasi dan mengubah pola perilaku destruktif dalam keluarga,done
2026-01-07 14:22:02,keluarga,5,Melakukan terapi keluarga terstruktur untuk masalah yang kompleks,done
2026-01-07 14:22:22,trauma,1,"Mengikuti terapi trauma (CBT, EMDR, atau terapi eksposur) dengan psikolog",pending
2026-01-07 14:22:22,trauma,2,Berkonsultasi dengan psikiater untuk evaluasi PTSD dan pengobatan,pending
2026-01-07 14:22:22,trauma,3,Menjalani trauma healing terstruktur dengan terapis berlisensi,pending
2026-01-07 14:22:22,trauma,4,Melakukan terapi perilaku kognitif untuk mengubah pikiran negatif,pending
2026-01-07 14:22:22,trauma,5,Mengikuti terapi kelompok untuk korban PTSD dengan ahli,pending
2026-01-07 20:30:12,keluarga,1,Mengikuti konseling keluarga dengan psikolog atau terapis,pending
2026-01-07 20:30:12,keluarga,2,Membuat kesepakatan dan komitmen bersama untuk menyelesaikan konflik,pending
2026-01-07 20:30:12,keluarga,3,Belajar teknik komunikasi efektif dan penyelesaian masalah dari ahli,pending
2026-01-07 20:30:12,keluarga,4,Mengidentifikasi dan mengubah pola perilaku destruktif dalam keluarga,pending
2026-01-07 20:30:12,keluarga,5,Melakukan terapi keluarga terstruktur untuk masalah yang kompleks,pending
2026-01-07 20:51:57,stress,1,Berkonsultasi dengan atasan untuk mengurangi beban kerja,done
2026-01-07 20:51:57,stress,2,Mengikuti pelatihan manajemen stress atau workshop kesehatan mental,done
2026-01-07 20:51:57,stress,3,Mencari bantuan profesional (psikolog) untuk terapi problem-focused coping,done
2026-01-07 20:51:57,stress,4,Mengambil cuti untuk pemulihan kesehatan mental dan fisik,done
2026-01-07 20:51:57,stress,5,Menerapkan teknik relaksasi dan coping mechanism yang dipelajari dari ahli,done
2026-01-08 08:04:36,keluarga,1,Mengikuti konseling keluarga dengan psikolog atau terapis,done
2026-01-08 08:04:36,keluarga,2,Membuat kesepakatan dan komitmen bersama untuk menyelesaikan konflik,done
2026-01-08 08:04:36,keluarga,3,Belajar teknik komunikasi efektif dan penyelesaian masalah dari ahli,done
2026-01-08 08:04:36,keluarga,4,Mengidentifikasi dan mengubah pola perilaku destruktif dalam keluarga,done
2026-01-08 08:04:36,keluarga,5,Melakukan terapi keluarga terstruktur untuk masalah yang kompleks,done
2026-01-08 08:06:50,depresi,1,Berjalan kaki ringan 20-30 menit di area terbuka,pending
2026-01-08 08:06:50,depresi,2,Mendengarkan musik favorit atau podcast motivasi,done
2026-01-08 08:06:50,depresi,3,Merapikan kamar atau ruang kecil di rumah,done
2026-01-08 08:06:50,depresi,4,"Melakukan hobi ringan (menggambar, mewarnai, merajut)",done
2026-01-08 08:06:50,depresi,5,Minum air putih yang cukup dan makan makanan bergizi,done
2026-01-08 19:19:58,burnout,1,Tidur cukup 7-8 jam setiap malam dengan kualitas yang baik,done
2026-01-08 19:19:58,burnout,2,Makan makanan bergizi seimbang dan hindari fast food,done
2026-01-08 19:19:58,burnout,3,Melakukan hobi atau aktivitas yang menyenangkan di luar pekerjaan,pending
2026-01-08 19:19:58,burnout,4,Berjalan kaki atau olahraga ringan 20-30 menit setiap hari,pending
2026-01-08 19:19:58,burnout,5,Mengurangi waktu layar dan media sosial sebelum tidur,pending
