test_id,question_id,teks
keluarga,1,Seberapa sering pasangan Anda berhasil memenuhi kebutuhan Anda?
keluarga,2,Seberapa sering Anda merasa puas dengan hubungan yang dijalani?
keluarga,3,Seberapa sering Anda merasa hubungan Anda lebih baik dari hubungan orang lain?
keluarga,4,Seberapa sering Anda menyesal atau berharap tidak pernah masuk ke hubungan ini?
keluarga,5,Seberapa sering hubungan Anda berjalan sesuai dengan harapan awal Anda?
keluarga,6,Seberapa sering Anda merasakan perasaan cinta yang kuat terhadap pasangan?
keluarga,7,Seberapa sering Anda menghadapi masalah atau konflik dalam hubungan?

depresi,1,"Seberapa sering Anda merasa sedih, hampa, atau putus asa?"
depresi,2,Seberapa sering Anda merasa kurang tertarik atau tidak bergairah melakukan aktivitas?
depresi,3,Seberapa sering Anda mengalami kesulitan tidur atau tidur terlalu banyak?
depresi,4,Seberapa sering Anda merasa lelah atau kekurangan energi meski tidak beraktivitas berat?
depresi,5,Seberapa sering Anda mengalami perubahan nafsu makan (menurun atau meningkat tajam)?
depresi,6,Seberapa sering Anda merasa gagal atau mengecewakan diri sendiri dan keluarga?
depresi,7,"Seberapa sering Anda sulit berkonsentrasi, seperti saat membaca atau menonton TV?"
depresi,8,"Seberapa sering Anda bicara/bergerak lebih lambat, atau justru merasa sangat gelisah?"
depresi,9,Seberapa sering muncul pikiran untuk menyakiti diri sendiri atau merasa lebih baik mati?

kecemasan,1,"Seberapa sering Anda merasa tegang, gelisah, atau tidak tenang?"
kecemasan,2,Seberapa sering Anda merasa khawatir secara berlebihan terhadap berbagai hal?
kecemasan,3,Seberapa sering Anda merasa sulit untuk bersantai atau merasa rileks?
kecemasan,4,Seberapa sering Anda merasa takut seolah-olah sesuatu yang buruk akan terjadi?
kecemasan,5,Seberapa sering Anda merasa mudah tersinggung atau merasa jengkel?
kecemasan,6,Seberapa sering Anda merasakan gejala fisik seperti jantung berdebar atau tangan gemetar?
kecemasan,7,Seberapa sering Anda merasa sulit mengendalikan rasa cemas Anda?

stress,1,Seberapa sering Anda merasa kesal karena memperoleh hal-hal yang tidak diharapkan terjadi?
stress,2,Seberapa sering Anda merasa bahwa Anda tidak dapat mengendalikan hal-hal penting dalam hidup Anda?
stress,3,Seberapa sering Anda merasa gugup dan stres?
stress,4,Seberapa sering Anda merasa tidak percaya diri mengenai kemampuan Anda untuk mengatasi masalah pribadi?
stress,5,Seberapa sering Anda merasa bahwa hal-hal dalam hidup Anda tidak berjalan sesuai dengan yang Anda harapkan?
stress,6,Seberapa sering Anda menemukan bahwa Anda tidak dapat mengatasi hal-hal yang harus Anda lakukan?
stress,7,Seberapa sering Anda gagal dalam mengendalikan gangguan dalam hidup Anda?
stress,8,Seberapa sering Anda merasa bahwa Anda belum dapat menguasai hal-hal dalam hidup Anda?
stress,9,Seberapa sering Anda merasa marah karena hal-hal yang terjadi di luar kendali Anda?
