tes,kategori,prioritas,aktivitas

depresi,Rendah,1,Berjalan kaki ringan 20-30 menit di area terbuka
depresi,Rendah,2,Mendengarkan musik favorit atau podcast motivasi
depresi,Rendah,3,Merapikan kamar atau ruang kecil di rumah
depresi,Rendah,4,"Melakukan hobi ringan (menggambar, mewarnai, merajut)"
depresi,Rendah,5,Minum air putih yang cukup dan makan makanan bergizi
depresi,Sedang,1,Mencatat perasaan harian dalam jurnal emosi
depresi,Sedang,2,Melakukan meditasi atau latihan pernapasan dalam 10-15 menit
depresi,Sedang,3,Menghubungi atau mengobrol dengan teman atau keluarga
depresi,Sedang,4,Menetapkan satu tujuan kecil dan menyelesaikannya hari ini
depresi,Sedang,5,Membatasi waktu penggunaan media sosial maksimal 1 jam
depresi,Tinggi,1,Menjadwalkan konsultasi dengan psikolog atau psikiater
depresi,Tinggi,2,Bercerita dan berbagi perasaan dengan orang terdekat yang dipercaya
depresi,Tinggi,3,Melakukan aktivitas yang dulu disukai meski hanya 15 menit
depresi,Tinggi,4,Mengikuti sesi terapi perilaku kognitif (CBT) jika tersedia
depresi,Tinggi,5,"Membuat rutinitas harian sederhana (waktu bangun, makan, tidur)"

keluarga,Rendah,1,Makan malam bersama keluarga tanpa gangguan gadget
keluarga,Rendah,2,Melakukan aktivitas bersama seperti menonton film atau bermain board game
keluarga,Rendah,3,Memberikan apresiasi dan pujian kepada anggota keluarga
keluarga,Rendah,4,Menciptakan tradisi keluarga sederhana (misalnya piknik akhir pekan)
keluarga,Rendah,5,Mendengarkan cerita dan keluh kesah anggota keluarga dengan penuh perhatian
keluarga,Sedang,1,Berdiskusi terbuka tentang masalah keluarga tanpa menyalahkan
keluarga,Sedang,2,Menetapkan aturan dan batasan yang disepakati bersama
keluarga,Sedang,3,Menghabiskan quality time dengan setiap anggota keluarga secara individual
keluarga,Sedang,4,Berlatih empati dengan memahami perspektif anggota keluarga lain
keluarga,Sedang,5,Melakukan hobi atau olahraga bersama untuk mengurangi stres keluarga
keluarga,Tinggi,1,Mengikuti konseling keluarga dengan psikolog atau terapis
keluarga,Tinggi,2,Membuat kesepakatan dan komitmen bersama untuk menyelesaikan konflik
keluarga,Tinggi,3,Belajar teknik komunikasi efektif dan penyelesaian masalah dari ahli
